Entrantes,Espera,Desbordes,Transferencias,Contestadas,Contestadas20seg,Contestadas15seg,Abandonadas,TiempoConversacion,TiempoEspera
13194,5501,4167,3160,12145,10574,10455,1049,4039839,661267
20688,7610,5622,4439,18167,15006,14761,2521,5797343,794602
18351,7103,6158,4161,16236,12535,12280,2115,5215356,720862
38228,14301,11751,8462,35445,29670,29209,2783,11563740,1474686
35767,14040,12081,8227,33746,28770,28393,2021,11395296,1460178
35412,13682,11739,8005,33347,27777,27402,2065,11249974,1470564
34393,13653,12199,8045,33365,28841,28447,1028,11000782,1446301
32752,12963,11945,7787,31815,28135,27807,937,10350799,1343233
22132,8491,6661,5097,20810,16849,16573,1322,6789048,909138
19159,7418,5209,4265,16445,12549,12373,2714,5321767,842625
26937,11469,8517,6566,26128,22831,22531,809,8311515,1282908
38123,15359,12882,9030,36863,30365,29878,1260,11948326,1691358
35899,14524,12231,8535,34949,29894,29480,950,11468247,1554576
34528,14153,11680,8222,33601,29687,29366,927,11060166,1470707
31979,12753,12034,7524,31158,27343,27009,821,10268156,1282095
20835,8221,6526,5028,19804,15808,15570,1031,6297194,803950
15289,6519,4615,3871,14718,12837,12724,571,4716713,642539
35446,14389,10945,8554,34582,30309,29938,864,11377890,1386422
35076,14165,11041,8342,34217,29866,29499,859,11386800,1396084
34297,14036,11039,8326,33418,29220,28866,879,11098104,1483410
36469,14958,12452,8875,35076,29752,29332,1393,11371255,1635081
41363,16625,12475,10374,36427,27908,27316,4936,11405269,1776486
28180,11443,8180,7139,24711,18482,18084,3469,7858658,1344439
23615,9939,6330,6005,20359,14047,13751,3256,6367073,1248551
39914,16505,12538,9715,38471,31487,30975,1443,12347778,1759959
38132,15764,11461,8882,36735,30614,30121,1397,12127591,1904824
35570,14829,11385,8599,34532,29569,29203,1038,11360193,1641393
34392,14503,11134,8649,33582,29053,28697,810,10831001,1478153
32819,13432,10508,8061,32027,28004,27617,792,10210034,1478995
22868,9516,7511,5769,21520,17486,17273,1348,7026329,1195374
18234,8110,5483,4850,16909,13729,13570,1325,5397745,892594
